COMMON_NAME,SCIENTIFIC_NAME,CATEGORY,order,family,scientific name,CLASSIFICATION
Evening Grosbeak,Coccothraustes vespertinus,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Coccothraustes vespertinus,N
Ferruginous Hawk,Buteo regalis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo regalis,N
Ferruginous Pygmy-Owl,Glaucidium brasilianum,species,Strigiformes,Strigidae (Owls),Glaucidium brasilianum,N
Field Sparrow,Spizella pusilla,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Spizella pusilla,N
Fish Crow,Corvus ossifragus,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus ossifragus,N
Five-striped Sparrow,Amphispiza quinquestriata,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Amphispiza quinquestriata,N
Flame-colored Tanager,Piranga bidentata,species,Passeriformes,Cardinalidae (Cardinals and Allies),Piranga bidentata,N
Flammulated Owl,Psiloscops flammeolus,species,Strigiformes,Strigidae (Owls),Psiloscops flammeolus,N
Florida Scrub-Jay,Aphelocoma coerulescens,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Aphelocoma coerulescens,N
Fork-tailed Flycatcher,Tyrannus savana,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus savana,N
Forster's Tern,Sterna forsteri,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna forsteri,N
Fox Sparrow,Passerella iliaca,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Passerella iliaca,N
Franklin's Gull,Leucophaeus pipixcan,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Leucophaeus pipixcan,N
Fulvous Whistling-Duck,Dendrocygna bicolor,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna bicolor,N
Gadwall,Mareca strepera,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mareca strepera,N
Gambel's Quail,Callipepla gambelii,species,Galliformes,Odontophoridae (New World Quail),Callipepla gambelii,N
Gila Woodpecker,Melanerpes uropygialis,species,Piciformes,Picidae (Woodpeckers),Melanerpes uropygialis,N
Gilded Flicker,Colaptes chrysoides,species,Piciformes,Picidae (Woodpeckers),Colaptes chrysoides,N
Glaucous Gull,Larus hyperboreus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus hyperboreus,N
Glaucous-winged Gull,Larus glaucescens,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus glaucescens,N
Glossy Ibis,Plegadis falcinellus,species,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Plegadis falcinellus,N
Golden Eagle,Aquila chrysaetos,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Aquila chrysaetos,N
Golden-cheeked Warbler,Setophaga chrysoparia,species,Passeriformes,Parulidae (New World Warblers),Setophaga chrysoparia,N
Golden-crowned Kinglet,Regulus satrapa,species,Passeriformes,Regulidae (Kinglets),Regulus satrapa,N
Golden-crowned Sparrow,Zonotrichia atricapilla,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Zonotrichia atricapilla,N
Golden-fronted Woodpecker,Melanerpes aurifrons,species,Piciformes,Picidae (Woodpeckers),Melanerpes aurifrons,N
